,Tiefbau Gesamt,24335,m,,,,,,,,,,,,,,,,
,,,,im Straßenkörper,,mit Handschachtung,,in Privatweg,,,,,,,,,,,
,Offener Tiefbau,22629,m,6129,m,1341,m,50,m,,,,,,,,,,
,Asphalt,15453,m,5467,m,886,m,0,m,,,,,,,,,,
,Pflaster,5929,m,400,m,285,m,50,m,,,,,,,,,,
,Unbefestigt,800,m,179,m,46,m,0,m,,,,,,,,,,
,Mosaikpflaster,447,m,83,m,124,m,0,m,,,,,,,,,,
,Kopfsteinpflaster,0,m,0,m,0,m,0,m,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Geschlossener Tiefbau,1706,m,,,,,4,m,,,,,,,,,,
,Rohrpressung,1483,m,,,,,4,m,,,,,,,,,,
,Spülbohrung,223,m,,,,,0,m,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Sonderquerungen,,,,,,,,,,,,,,,,,,
,Bahn,2,ST.,,,,,,,,,,,,,,,,
,Bachquerung,7,ST.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
